name,symbol,cg_id
Anvil,ANVL,anvil
AxonDAO Governance Token,AXGT,axondao-governance-token
Mountain Protocol USD,USDM,mountain-protocol-usdm
SuperWalk GRND,GRND,superwalk
Kujira,KUJI,kujira
TOKPIE,TKP,tokpie
TrueFi,TRU,truefi
Cobak,CBK,cobak-token
High Growth ETH,HGETH,high-growth-eth
Hippocrat,HPO,humanscape
LandWolf,WOLF,landwolf-0x67
Targon,TARGON,dtao-4-Targon
Simon's Cat,CAT,simon-s-cat
SuperRare,RARE,superrare
GoPlus Security,GPS,goplus-security
Sanctum Infinity,INF,socean-staked-sol
Avalanche Bridged WBTC (Avalanche),WBTC,avalanche-old-bridged-wbtc-avalanche
Gradients,GRADIENTS,dtao-56-Gradients
LOFI,LOFI,lofi-2
Act I The AI Prophecy,ACT,act-i-the-ai-prophecy
MARBLEX,MBX,marblex
Huobi,HT,huobi-token
BounceBit,BB,bouncebit
?emplar,SN3,templar
Avalanche Bridged USDC (Avalanche),USDC.E,usd-coin-avalanche-bridged-usdc-e
Crypto Trading Fund,CTF,crypto-trading-fund
DevvE,DEVVE,devve
Stride,STRD,stride
Keyboard Cat (Base),KEYCAT,keyboard-cat-base
Hydration,HDX,hydradx
Savings crvUSD,SCRVUSD,savings-crvusd
Quantum Resistant Ledger,QRL,quantum-resistant-ledger
Gearbox,GEAR,gearbox
QANplatform,QANX,qanplatform
HashAI,HASHAI,hashai
Targon,SN4,targon
PepeCoin,PEPECOIN,pepecoin-2
Ekubo Protocol,EKUBO,ekubo-protocol
Bitcoin Wizards,WZRD,bitcoin-wizards
Avalanche Bridged WETH (Avalanche),WETH,avalanche-bridged-weth-avalanche
Celium,CELIUM,dtao-51-Celium
Alephium,ALPH,alephium
MovieBloc,MBL,moviebloc
MyShell,SHELL,myshell
TokenFi,TOKEN,tokenfi
Gradients,SN56,gradients
Concordium,CCD,concordium
Coq Inu,COQ,coq-inu
Boba Network,BOBA,boba-network
Tensor,TNSR,tensor
XION,XION,xion-2
Decentralized Social,DESO,deso
Whiteheart,WHITE,whiteheart
Binance-Peg Avalanche,AVAX,binance-peg-avalanche
Wrapped Cygnus USD,WCGUSD,wrapped-cygnus-usd
doginme,DOGINME,doginme
Maxi PayFi Strategy Token,MPST,maxi-payfi-strategy-token
FUNToken,FUN,funfair
SOON,SOON,soon-2
Stargate Bridged USDC (Plume),USDC.E,stargate-bridged-usdc-plume
Wrapped NXM,WNXM,wrapped-nxm
DODO,DODO,dodo
inSure DeFi,SURE,insure
Austin Capitals,AUX,austin-capitals
Connex,CONX,connex
Useless Coin,USELESS,useless-3
Liquity USD,LUSD,liquity-usd
Hypurr Fun,HFUN,hypurr-fun
Shentu,CTK,certik
Wayfinder,PROMPT,wayfinder
Inception Restaked stETH Symbiotic,INWSTETHS,inception-restaked-steth-symbiotic
Seraph,SERAPH,seraph
My Neighbor Alice,ALICE,my-neighbor-alice
AVA (Travala),AVA,concierge-io
IXS,IXS,ix-swap
Helder,HELDER,helder
Milady Meme Coin,LADYS,milady-meme-coin
Forta,FORT,forta
Celium,SN51,celium
dForce,DF,dforce-token
Lista DAO,LISTA,lista
Treasure,MAGIC,magic
Cudos,CUDOS,cudos
Sui Bridged Ether (Sui),SBETH,sui-bridged-ether-sui
Wrapped XRP,WXRP,wrapped-xrp
LAMBO,LAMBO,lambo-4
Efinity,EFI,efinity
Origin Token,OGN,origin-protocol
Kekius Maximus,KEKIUS,kekius-maximus
Keep Network,KEEP,keep-network
Universal ETH,UNIETH,universal-eth
deBridge,DBR,debridge
GAME by Virtuals,GAME,game-by-virtuals
Mansory Token,MNSRY,mansory-token
Metadium,META,metadium
Polygon Hermez Bridged USDT (x Layer),USDT,polygon-hermez-bridged-usdt-x-layer
Storj,STORJ,storj
T-mac DAO,TMG,t-mac-dao
VedoraAI,VED,vedoraai
TruFin Staked MATIC,TRUMATIC,trufin-staked-matic
Sai,SAI,sai
Slerf,SLERF,slerf
Test,TST,test-3
Fusionist,ACE,endurance
Staked Frax USD,SFRXUSD,staked-frax-usd
sUSD,SUSD,nusd
Mubarak,MUBARAK,mubarak
Lista USD,LISUSD,helio-protocol-hay
BankrCoin,BNKR,bankercoin-2
Wrapped Centrifuge,WCFG,wrapped-centrifuge
Beincom,BIC,beincom
Big Dog Fink,BINK,big-dog-fink
Tornado Cash,TORN,tornado-cash
Snowbank,SB,snowbank
Open Campus,EDU,edu-coin
Crown by Third Time Games,CROWN,crown-by-third-time-games
PolySwarm,NCT,polyswarm
TokenPocket Token,TPT,token-pocket
Quai Network,QUAI,quai-network
Strike,STRIKE,strike
MinoTari (Tari),XTM,minotari
Binance-Peg DAI,DAI,binance-peg-dai
Bedrock BTC,BRBTC,bedrock-btc
HashKey Platform Token,HSK,hashkey-ecopoints
VitaDAO,VITA,vitadao
MESSIER,M87,messier
SX Network,SX,sx-network-2
Gains Network,GNS,gains-network
Celo Dollar,CUSD,celo-dollar
Bluefin,BLUE,bluefin
ThunderCore,TT,thunder-token
Vine,VINE,vine
Peapods Finance,PEAS,peapods-finance
Hive Dollar,HBD,hive_dollar
RSS3,RSS3,rss3
Radworks,RAD,radicle
Hegic,HEGIC,hegic
Nobody Sausage,NOBODY,nobody-sausage
Liquity BOLD,BOLD,liquity-bold-2
Ampleforth,AMPL,ampleforth
RIZE,RIZE,rize
sDOLA,SDOLA,sdola
Layer3,L3,layer3
Thala APT,THAPT,thala-apt
Mavryk Network,MVRK,mavryk-network
Autonomi,ANT,autonomi
Puffer,PUFFER,puffer-finance
Hot Mom,HOTMOM,hot-mom
DEAPCOIN,DEP,deapcoin
Optio,OPT,optio
AUKI,AUKI,auki-labs
Housecoin,HOUSE,housecoin-2
Hashflow,HFT,hashflow
ynETH MAX,YNETHX,yneth-max
Based Fartcoin,FARTCOIN,based-fartcoin
SkyAI,SKYAI,skyai
NetMind Token,NMT,netmind-token
Syscoin,SYS,syscoin
Stader MaticX,MATICX,stader-maticx
Cortex,CX,cortex-2
Synapse,SYN,synapse-2
Ancient8,A8,ancient8
Orchid Protocol,OXT,orchid-protocol
AIntivirus,AINTI,aintivirus
Ava AI,AVA,ava-ai
AI Rig Complex,ARC,ai-rig-complex
ONFA,OFT,onfa
MAGIC�INTERNET�MONEY (Bitcoin),MIM,magic-internet-money-runes
Pangolin,PNG,pangolin
cUSDC,CUSDC,compound-usd-coin
DAO Maker,DAO,dao-maker
Pixels,PIXEL,pixels
Acala,ACA,acala
ANyONe Protocol,ANYONE,airtor-protocol
Maverick Protocol,MAV,maverick-protocol
APX,APX,apollox-2
BOBO Coin,BOBO,bobo-coin
BitMEX,BMEX,bitmex-token
Nym,NYM,nym
Joe Coin,JOE,joe-coin
GME (Ethereum),GME,game-stop
XT Stablecoin XTUSD,XTUSD,xtusd
BakerySwap,BAKE,bakerytoken
Wojak,WOJAK,wojak
McDull (Meme),MCDULL,mcdull
NodeAI,GPU,nodeai
zkSync Bridged USDC (zkSync),USDC,zksync-bridged-usdc-zksync
Wrapped QUIL,QUIL,wrapped-quil
Hex Trust USD,USDX,hex-trust-usdx
Tiger Shark,TIGERSHARK,tiger-shark
Elastos,ELA,elastos
VICE,VICE,vice-2
CargoX,CXO,cargox
Edge,EDGE,edge
WibeGram,WIBE,wibegram
tao.bot,TAOBOT,tao-bot
NFPrompt,NFP,nfprompt-token
Defiway,DEFI,defiway
OpenServ,SERV,openserv
Law Blocks,LBT,law-blocks
ECOx,ECOX,ecox
Mr. Miggles,MIGGLES,mister-miggles
Torus,TORUS,torus
ELYSIA,EL,elysia
Coinshift USDC,CSUSDC,coinshift-usdc
Ice Open Network,ICE,ice
ParaSwap,PSP,paraswap
Ethernity Chain,ERN,ethernity-chain
Dacxi,DXI,dacxi
Milady Cult Coin,CULT,milady-cult-coin
Fartboy,$FARTBOY,fartboy
Clover Finance,CLV,clover-finance
Parcl,PRCL,parcl
Electroneum,ETN,electroneum
sETH,SETH,seth
Slash Vision Labs,SVL,slash-vision-labs
Uquid Coin,UQC,uquid-coin
Assemble AI,ASM,assemble-protocol
NEURALAI,NEURAL,neuralai
Bridged Tether (Rainbow Bridge),USDT.E,tether-rainbow-bridge
Zora,ZORA,zora
Proprietary Trading Network,PROPRIETARY TRADING NETWORK,dtao-8-Proprietary Trading Network
Avalon,AVL,avalon-2
MAP Protocol,MAPO,marcopolo
Radiant Capital,RDNT,radiant-capital
Stader,SD,stader
Hooked Protocol,HOOK,hooked-protocol
Firmachain,FCT,firmachain
DeGate,DG,degate
Morphware,XMW,morphware
Helium Mobile,MOBILE,helium-mobile
Coinmetro,XCM,coinmetro
Ampleforth Governance,FORTH,ampleforth-governance-token
HairDAO,HAIR,hairdao
Shardus,ULT,shardus
Unicorn Fart Dust,UFD,unicorn-fart-dust
Wen,WEN,wen-4
DUSK,DUSK,dusk-network
Pirate Chain,ARRR,pirate-chain
Aster Staked USDF,ASUSDF,astherus-staked-usdf
Sperax,SPA,sperax
Finvesta,FINVESTA,finvesta
OpenKaito,OPENKAITO,dtao-5-OpenKaito
Tree,TREE,tree-capital
Zerebro,ZEREBRO,zerebro
Everscale,EVER,everscale
MNEE USD Stablecoin,MNEE,mnee-usd-stablecoin
Ankr Staked ETH,ANKRETH,ankreth
Covalent X Token,CXT,covalent-x-token
Bridged USD Coin (StarkGate),USDC,bridged-usd-coin-starkgate
Minswap,MIN,minswap
Bertram The Pomeranian,BERT,bertram-the-pomeranian
Collaterize,COLLAT,collaterize
A Hunters Dream,CAW,a-hunters-dream
Alpha Quark,AQT,alpha-quark-token
Unity,UTY,unity-2
Kendu Inu,KENDU,kendu-inu
Alien Worlds,TLM,alien-worlds
Build On BNB,BOB,build-on-bnb
TAGGER,TAG,tagger
OHO Blockchain,OHO,oho-blockchain
SaucerSwap,SAUCE,saucerswap
Radio Caca,RACA,radio-caca
Groestlcoin,GRS,groestlcoin
Renzo,REZ,renzo
HERBCOIN,HERB,herbcoin
OMG Network,OMG,omisego
Chain-key Bitcoin,CKBTC,chain-key-bitcoin
Aquarius,AQUA,aquarius
Proprietary Trading Network,SN8,proprietary-trading-network
Spring Staked SUI,SSUI,spring-staked-sui
Infrared BGT,IBGT,infrafred-bgt
Zeus Network zBTC,ZBTC,zeus-netwok-zbtc
Mamo,MAMO,mamo
Monerium EUR emoney,EURE,monerium-eur-money-2
Stargate Bridged USDC (Berachain),USDC.E,stargate-bridged-usdc-berachain
LUKSO,LYX,lukso-token-2
Mossland,MOC,mossland
Neon,NEON,neon
PYTHIA,PYTHIA,pythia
LimeWire,LMWR,limewire-token
MAI,MIMATIC,mimatic
World Friendship Cash,WFCA,wfca
Metacade,MCADE,metacade
SuiNS Token,NS,suins-token
OpenKaito,SN5,openkaito
Advertise Coin,ADCO,advertise-coin
World Chain Bridged USDC (World Chain),USDC.E,bridged-usdc-world-chain
WaterNeuron,WTN,waterneuron
Novem Gold Token,NNN,novem-gold
Scout Protocol Token,DEV,scout-protocol-token
Chainflip,FLIP,chainflip
Automata,ATA,automata
EarthMeta,EMT,earthmeta
Orbiter Finance,OBT,orbiter-finance
catwifmask,MASK,catwifmask
Cloud,CLOUD,sanctum-2
KoKoK The Roach,KOKOK,kokok-the-roach
BurnedFi,BURN,burnedfi
NATIX Network,NATIX,natix-network
Suilend,SEND,suilend
Nakamoto Games,NAKA,nakamoto-games
Coinweb,CWEB,coinweb
Dora Factory,DORA,dora-factory-2
Sceptre Staked FLR,SFLR,sceptre-staked-flr
Bubblemaps,BMT,bubblemaps
Tutorial,TUT,tutorial
Phoenix,PHB,phoenix-global
Step Finance,STEP,step-finance
tokenbot,CLANKER,tokenbot-2
BBAChain,BBA,bbachain
Mobox,MBOX,mobox
PinkSale,PINKSALE,pinksale
Victoria VR,VR,victoria-vr
AhaToken,AHT,ahatoken
Jambo,J,jambo
GXChain,GXC,gxchain
Dego Finance,DEGO,dego-finance
Laine Staked SOL,LAINESOL,laine-stake
VeraOne,VRO,veraone
Guardians Of The Spark,GOTS,guardians-of-the-spark
ORIGYN,OGY,origyn-foundation
LayerZero Bridged USDC (Aptos),ZUSDC,layerzero-bridged-usdc-aptos
Araracoin,ARARA,araracoin
DexTools,DEXT,dextools
cDAI,CDAI,cdai
NAVI Protocol,NAVX,navi
Redbelly Network,RBNT,redbelly-network-token
Cudis,CUDIS,cudis
Empyreal,EMP,empyreal
Xterio,XTER,xterio
CZ's Dog,BROCCOLI,czs-dog
PlatON Network,LAT,platon-network
Noon USN,USN,noon-usn
Fuzzybear,FUZZY,fuzzybear
Jelly-My-Jelly,JELLYJELLY,jelly-my-jelly
Self Chain,SLF,self-chain
Fractal Bitcoin,FB,fractal-bitcoin
Vulcan Forged,PYR,vulcan-forged
Aegis YUSD,YUSD,aegis-yusd
Ninja Squad Token,NST,ninja-squad
Gyroscope GYD,GYD,gyroscope-gyd
Santos FC Fan Token,SANTOS,santos-fc-fan-token
Ultra,UOS,ultra
DOVU,DOVU,dovu-2
Pikaboss,PIKA,pikaboss
Gold DAO,GOLDAO,gold-dao
Camino Network,CAM,camino-network
HUMAN Protocol,HMT,human-protocol
The Innovation Game,TIG,the-innovation-game
GENIUS AI,GNUS,genius-ai
RealToken Ecosystem Governance,REG,realtoken-ecosystem-governance
Port3 Network,PORT3,port3-network
Enzyme,MLN,melon
iota,IOTA,dtao-9-iota
Zeta,ZEX,zeta
Epic Chain,EPIC,epic-chain
Guild of Guardians,GOG,guild-of-guardians
SideShift,XAI,sideshift-token
Heima,HEI,heima
ApeX,APEX,apex-token-2
dYdX,ETHDYDX,dydx
Eafin,EAFIN,eafin
Spectre AI,SPECTRE,spectre-ai
Soneium Bridged USDC (Soneium),USDC.E,soneium-bridged-usdc-soneium
ArbDoge AI,AIDOGE,arbdoge-ai
Realio Network Token,RIO,realio-network
ChainBounty,BOUNTY,sentinel-protocol
Cocoro,COCORO,cocoro-2
Levana,LVN,levana-protocol
MorpheusAI,MOR,morpheusai
PURPLE PEPE,PURPE,purple-pepe
Wanchain,WAN,wanchain
Bella Protocol,BEL,bella-protocol
Neuron,NRN,neuron
Dexalot,ALOT,dexalot
pSTAKE Finance,PSTAKE,pstake-finance
Electronic USD,EUSD,electronic-usd
Orderly Network,ORDER,orderly-network
Poollotto.finance,PLT,poollotto-finance
Pups (Bitcoin),PUPS,rune-pups
Magpie,MGP,magpie
Mantle Bridged USDC (Mantle),USDC,mantle-bridged-usdc-mantle
King Protocol,KING,lrt-squared
Haedal Protocol,HAEDAL,haedal
HOPR,HOPR,hopr
Stella,ALPHA,alpha-finance
Qkacoin,QKA,qkacoin
stake.link,SDL,stake-link
Daddy Tate,DADDY,daddy-tate
Hyperlane,HYPER,hyperlane
Doodles,DOOD,doodles
Vow,VOW,vow
Lorenzo Protocol,BANK,lorenzo-protocol
iota,SN9,iota-2
EURA,EURA,ageur
Hanu Yokia,HANU,hanu-yokia
Impossible Finance Launchpad,IDIA,idia
Gelato,GEL,gelato
ElonXCat,EXC,elonxcat
BXN,BXN,bxn
PaLM AI,PALM,palm-ai
Artrade,ATR,artrade
RETARDIO,RETARDIO,retardio
Swarms,SWARMS,swarms
MakerDAO Arbitrum Bridged DAI (Arbitrum One),DAI,makerdao-arbitrum-bridged-dai-arbitrum-one
NKN,NKN,nkn
district0x,DNT,district0x
Dar Open Network,D,dar-open-network
MetaMUI,MMUI,metamui
Alchemix,ALCX,alchemix
IDEX,IDEX,aurora-dao
Strike,STRIKE,strike-2
KernelDAO,KERNEL,kernel-2
Myro,$MYRO,myro
GamerCoin,GHX,gamercoin
SWEAT,SWEAT,sweatcoin
OPENLOOT,OL,open-loot
Derive,DRV,derive
REVOX,REX,revox
Elephant Money,ELEPHANT,elephant-money
Kled AI,KLED,kled-ai
ARPA,ARPA,arpa
ORA Coin,ORA,ora-coin
Polkastarter,POLS,polkastarter
Games for a Living,GFAL,games-for-a-living
Unizen,ZCX,unizen
Equilibria Finance ePENDLE,EPENDLE,equilibria-finance-ependle
L2 Standard Bridged USDT (Base),USDT,l2-standard-bridged-usdt-base
Star Atlas,ATLAS,star-atlas
Gnosis xDai Bridged WETH (Gnosis Chain),WETH,gnosis-xdai-bridged-weth-gnosis-chain
Luna by Virtuals,LUNA,luna-by-virtuals
alright buddy,BUDDY,alright-buddy
Bitgert,BRISE,bitrise-token
Indigo Protocol,INDY,indigo-dao-governance-token
Viction,VIC,tomochain
Fair and Free,FAIR3,fair-and-free
Maya Protocol,CACAO,cacao
Lava Network,LAVA,lava-network
Corn,CORN,corn-3
Lumia,LUMIA,lumia
Aavegotchi,GHST,aavegotchi
Mango,MNGO,mango-markets
League of Kingdoms,LOKA,league-of-kingdoms
StrikeX,STRX,strikecoin
Lido Staked SOL,STSOL,lido-staked-sol
AGENDA 47,A47,agenda-47
MOOxMOO,MOOX,mooxmoo
michi,$MICHI,michicoin
TruFin Staked NEAR,TRUNEAR,trufin-staked-near
PIXL,PIXL,sappy-seals-pixl
Alkimi,$ADS,alkimi
Quickswap [OLD],QUICK,quick
Brickken,BKN,brickken
Nest Elixir Vault (LP),INELIXIR,nest-elixir-vault-lp
Quickswap,QUICK,quickswap
STONKS,STONKS,stonks-5
GoGoPool,GGP,gogopool
Minutes Network Token,MNTX,minutes-network-token
Flamingo Finance,FLM,flamingo-finance
DOGEai,$DOGEAI,dogeai-2
Spectral,SPEC,spectral
RAMP [OLD],RAMP,ramp
StraitsX XUSD,XUSD,straitsx-xusd
IceCream AI,ICECREAM,icecream-ai
SynFutures,F,synfutures
Harvest Finance,FARM,harvest-finance
Badger,BADGER,badger-dao
moonpig,MOONPIG,moonpig
StakeStone,STO,stakestone
Pepecoin,PEP,pepecoin-network
FLOCK,FLOCK,flock-2
Telos,TLOS,telos
Bridged USD Coin (Scroll),USDC,bridged-usd-coin-scroll
DIMO,DIMO,dimo
Attention,ATTN,attention
OG Fan Token,OG,og-fan-token
Based Pepe,PEPE,based-pepe
Foom,FOOM,foom
UFO Token,UFO,ufo-token
MATH,MATH,math
Cortex,CTXC,cortex
Gochujangcoin,GOCHU,gochujangcoin
Basenji,BENJI,basenji
Own The Doge,DOG,the-doge-nft
Adshares,ADS,adshares
IMO,IMO,imo
Asymmetry Finance,ASF,asymmetry-finance
ThetaDrop,TDROP,thetadrop
RARI,RARI,rarible
GIZA,GIZA,giza
Vara Network,VARA,vara-network
Dimitra,DMTR,dimitra
Nineteen.ai,NINETEEN.AI,dtao-19-Nineteen.ai
node.sys,NYS,node-sys
Stake DAO,SDT,stake-dao
OORT,OORT,oort
Definitive,EDGE,definitive
Swell,SWELL,swell-network
GoGoPool ggAVAX,GGAVAX,gogopool-ggavax
WATCoin,WATC,watcoin-2
VIVI COIN,VIVI,vivi-coin
Gunz,GUN,gunz
Propchain,PROPC,propchain
TROLL,TROLL,troll-2
Vertex,VRTX,vertex-protocol
IlluminatiCoin,NATI,illuminaticoin
Dragonchain,DRGN,dragonchain
Sigma,SIGMA,sigma
AMATERASU OMIKAMI,OMIKAMI,amaterasu-omikami
GammaSwap,GS,gammaswap
Pundi X [OLD],NPXS,pundi-x
Reef,REEF,reef
Altura,ALU,altura
Gems VIP,GEMS,gems-vip
Axelrod by Virtuals,AXR,axelrod-by-virtuals
Klever,KLV,klever
Catizen,CATI,catizen
sudeng,HIPPO,sudeng
Fidu,FIDU,fidu
Abster,ABSTER,abster
YU,YU,yu
ShapeShift FOX,FOX,shapeshift-fox-token
Cult DAO,CULT,cult-dao
Sleepless AI,AI,sleepless-ai
Perpetual Protocol,PERP,perpetual-protocol
Numbers Protocol,NUM,numbers-protocol
Paris Saint-Germain Fan Token,PSG,paris-saint-germain-fan-token
Sendcoin,SEND,send-2
MakerDAO Optimism Bridged DAI (Optimism),DAI,makerdao-optimism-bridged-dai-optimism
cBAT,CBAT,compound-basic-attention-token
Stride Staked Atom,STATOM,stride-staked-atom
Nineteen.ai,SN19,nineteen-ai
Mind Network,FHE,mind-network
Flayer,FLAY,flayer
Bridged Tether (Avalanche),USDTE,tether-avalanche-bridged-usdt-e
Balance,EPT,balance
KiboShib,KIBSHI,kiboshib
Eggs Finance,EGGS,eggs-finance
404�GEN,404�GEN,dtao-17-404�GEN
VeBetterDAO,B3TR,vebetterdao
Vertical AI,VERTAI,vertical-ai
Tokemak,TOKE,tokemak
pippin,PIPPIN,pippin
Reddio,RDO,reddio
Open Exchange Token,OX OLD,open-exchange-token
Vita Inu,VINU,vita-inu
Bluzelle,BLZ,bluzelle
O Intelligence Coin,OI,o-intelligence-coin
Star Atlas DAO,POLIS,star-atlas-dao
Gnosis xDAI Bridged USDC (Gnosis),USDC,gnosis-xdai-bridged-usdc-gnosis
YieldNest Restaked ETH,YNETH,yieldnest-restaked-eth
Miracle Play,MPT,miracle-play
EverValue Coin,EVA,evervalue-coin
Hyperpigmentation,$HYPER,hyperpigmentation
Verse World,VERSE,verse-world
REI Network,REI,rei-network
Stafi,FIS,stafi
Zeus,ZEUS,zeus-4
Frontier,FRONT,frontier-token
Cross The Ages,CTA,cross-the-ages
LumiWave,LWA,onbuff
Penpie,PNP,penpie
Houdini Swap,LOCK,houdini-swap
Phoenix Global [OLD],PHB,red-pulse
titcoin,TITCOIN,titcoin-2
NFTX,NFTX,nftx
MilkyWay,MILK,milkyway-2
AstraAI,ASTRA,astraai
Inverse Finance,INV,inverse-finance
Book of Ethereum,BOOE,book-of-ethereum
Vyvo Smart Chain,VSC,vyvo-smart-chain
Contentos,COS,contentos
Phantom Staked SOL,PSOL,phantom-staked-sol
My Lovely Coin,MLC,my-lovely-coin
Aventus,AVT,aventus
CrypstocksAI,MVP,crypstocksai
UPCX,UPC,upcx
PiP,PIP,pip-3
AscendEx,ASD,asd
Mixie,MIXIE,mixie
STRIKE,STRIKE,strike-3
Score,SCORE,dtao-44-Score
AS Roma Fan Token,ASR,as-roma-fan-token
404�GEN,SN17,404-gen
Bridged USD Coin (Linea),USDC,bridged-usd-coin-linea
Counterparty,XCP,counterparty
Mainframe,MFT,mainframe
Allo,RWA,allo
Kofi Aptos,KAPT,kofi-aptos
Aura BAL,AURABAL,aura-bal
COCO COIN,COCO,coco-coin
Frax Price Index Share,FPIS,frax-price-index-share
Gitcoin,GTC,gitcoin
BSquared Network,B2,bsquared-network
StormX,STMX,storm
Hosico Cat,HOSICO,hosico-cat
LOCK IN,LOCKIN,lock-in
Quiztok,QTCON,quiztok
ZUSD,ZUSD,zusd
Agoras: Tau Net,AGRS,agoras-currency-of-tau
CreatorBid,BID,creatorbid
LeverFi,LEVER,lever
World of Dypians,WOD,world-of-dypians
Coral Protocol,CORAL,coral-protocol
META,META,meta-2
Seamless Protocol,SEAM,seamless-protocol
THORWallet DEX,TGT,thorwallet
StandX DUSD,DUSD,standx-dusd
WeatherXM,WXM,weatherxm-network
Karrat,KARRAT,karrat
Minima,MINIMA,minima
OctaSpace,OCTA,octaspace
CHEQD Network,CHEQ,cheqd-network
Shadow Token,SHDW,genesysgo-shadow
dForce USD,USX,token-dforce-usd
MCOIN,MCOIN,mcoin1
Christ Is King,CIK,christ-is-king
Dupe,DUPE,dupe
Data Universe,DATA UNIVERSE,dtao-13-Data Universe
JumpToken,JMPT,jumptoken
Grok,GROK,grok-2
crow with knife,CAW,crow-with-knife
Cronos zkEVM CRO,ZKCRO,cronos-zkevm-cro
Drop Staked NTRN,DNTRN,drop-staked-ntrn
Bridged USD Coin (PulseChain),USDC,usd-coin-pulsechain
DuckChain Token,DUCK,duckchain-token
Relend Network USDC - Starknet,RUSDC-STARK,relend-network-usdc-starknet
PeiPei,PEIPEI,peipeicoin-vip
TERA,TERA,tera-smart-money
Bitget Staked SOL,BGSOL,bitget-staked-sol
Score,SN44,score
Sally A1C,A1C,sally-a1c
Alien Base,ALB,alienbase
Yield Optimizer ETH,YOETH,yield-optimizer-eth
ynBNB MAX,YNBNBX,ynbnb-max
Boson Protocol,BOSON,boson-protocol
NOVA,NOVA,dtao-68-NOVA
Pepes Dog,ZEUS,pepes-dog
Alchemix USD,ALUSD,alchemix-usd
WHY,WHY,why
Enecuum,ENQ,enq-enecuum
DEFI.ssi,DEFI.SSI,defi-ssi
LUKSO [OLD],LYXE,lukso-token
FC Barcelona Fan Token,BAR,fc-barcelona-fan-token
PumpBTC,PUMP,pumpbtc-2
Soil,SOIL,soil
Aki Network,AKI,aki-protocol
Opulous,OPUL,opulous
BasedAI,BASEDAI,basedai
Wrapped Mantle,WMNT,wrapped-mantle
STUFF.io,STUFF,book-2
MEET48,IDOL,meet48
zKML,ZKML,zkml
Salute,SLT,salute
LTO Network,LTO,lto-network
Silo Finance,SILO,silo-finance-2
Elixir,ELX,elixir-finance
XBorg,XBG,xborg
Apex,APEX,dtao-1-Apex
Data Universe,SN13,data-universe
Berachain Staked ETH,BERAETH,berachain-staked-eth
Tranchess,CHESS,tranchess
Rich Quack,QUACK,richquack
American Coin,USA,american-coin
Fulcrom,FUL,fulcrom
Rupiah Token,IDRT,rupiah-token
Cornucopias,COPI,cornucopias
Cratos,CRTS,cratos
Singularry,SINGULARRY,singularry
MOO DENG,MOODENG,moo-deng-2
Doge Killer,LEASH,leash
AMO Coin,AMO,amo
ALEX Lab,ALEX,alexgo
Noot Noot,NOOT,noot-noot
Masa,MASA,masa-finance
Bityuan,BTY,bityuan
Cointel,COLS,cointel
Bridged Wrapped Bitcoin (StarkGate),WBTC,bridged-wrapped-bitcoin-starkgate
WUFFI,WUF,wuffi
Carrot,CRT,carrot-2
Memento,DEXTF,dextf
Equilibria Finance,EQB,equilibria-finance
NOVA,SN68,nova-3
flexUSD,FLEXUSD,flex-usd
Metis Bridged WETH (Metis Andromeda),WETH,metis-bridged-weth-metis-andromeda
Blockasset,BLOCK,blockasset
Frankencoin,ZCHF,frankencoin
Hacken,HAI,hackenai
KRYLL,KRL,kryll
Fantom Bomb,BOMB,fbomb
BitMind,BITMIND,dtao-34-BitMind
GameFi.org,GAFI,gamefi
Litentry,LIT,litentry
SpaceChain (ERC-20),SPC,spacechain-erc-20
SUKU,SUKU,suku
Pibble,PIB,pibble
DeFi Pulse Index,DPI,defipulse-index
Komodo,KMD,komodo
Voxies,VOXEL,voxies
The Root Network,ROOT,the-root-network
Meana Raptor,MRT,meana-raptor
AdEx,ADX,adex
Vestra DAO,VSTR,vestra-dao
Apex,SN1,apex-5
XRP ARMY,ARMY,army-3
BILLION�DOLLAR�CAT (Bitcoin),BDC,billion-dollar-cat-runes
Persistence One,XPRT,persistence
AEROBUD,AEROBUD,aerobud
TOPIA,TOPIA,hytopia
Solayer USD,SUSD,solayer-usd
Based ETH,BSDETH,based-eth
LooksRare,LOOKS,looksrare
Thena,THE,thena
Bridged USDC (Etherlink),USDC,layerzero-bridged-usdc-etherlink
U.CASH,UCASH,ucash
Zenrock,ROCK,zenrock
Ellipsis [OLD],EPS,ellipsis
Orby Network USC Stablecoin,USC,orby-network-usc-stablecoin
Alpha Fi,ALPHA,alpha-fi
Penumbra,UM,penumbra
THORSwap,THOR,thorswap
Bridged USDC (Base),USDBC,bridged-usd-coin-base
Jeff,JEFF,jeff-3
WEMIX Dollar,WEMIX$,wemix-dollar
Loan Protocol,LOAN,proton-loan
Bitcoin Gold,BTG,bitcoin-gold
Bridged Tether (Orbit Bridge),OUSDT,orbit-bridge-klaytn-usd-tether
Origin Sonic,OS,origin-staked-s
BOOP,BOOP,boop-4
PIVX,PIVX,pivx
BOB,BOB,bob-3
Department Of Government Efficiency,DOGE,department-of-government-efficiency
MemeFi,MEMEFI,memefi-2
Obol,OBOL,obol-2
Dolomite,DOLO,dolomite
Lingo,LINGO,lingo
bemo Staked TON,STTON,bemo-staked-ton
BitMind,SN34,bitmind
Swell Restaked BTC,SWBTC,swell-restaked-btc
Biswap,BSW,biswap
PAID,PAID,paid-network
Otherworld,OWN,otherworld
Volt Inu,VOLT,volt-inu-2
